Дата;Время;Срок 0.25 лет;Срок 0.5 лет;Срок 0.75 лет;Срок 1.0 лет;Срок 2.0 лет;Срок 3.0 лет;Срок 5.0 лет;Срок 7.0 лет;Срок 10.0 лет;Срок 15.0 лет;Срок 20.0 лет;Срок 30.0 лет
24.12.2025;18:49:59;12.86;13.21;13.51;13.75;14.35;14.60;14.69;14.60;14.37;13.95;13.68;
23.12.2025;18:49:44;13.03;13.36;13.63;13.85;14.4;14.62;14.7;14.59;14.31;13.89;13.64;
22.12.2025;18:49:58;12.94;13.29;13.57;13.81;14.4;14.64;14.71;14.57;14.27;13.85;13.6;
19.12.2025;18:49:56;13.25;13.52;13.74;13.92;14.33;14.5;14.56;14.46;14.21;13.79;13.54;
18.12.2025;18:49:58;13.4;13.6;13.77;13.91;14.22;14.35;14.41;14.34;14.12;13.76;13.54;
17.12.2025;18:49:56;13.48;13.68;13.84;13.96;14.24;14.41;14.51;14.42;14.15;13.76;13.55;
16.12.2025;18:49:59;13.34;13.55;13.72;13.86;14.17;14.33;14.42;14.38;14.2;13.87;13.66;
15.12.2025;18:49:58;13.47;13.66;13.82;13.96;14.29;14.44;14.46;14.36;14.15;13.81;13.62;
12.12.2025;18:49:56;13.63;13.79;13.91;14.0;14.22;14.34;14.38;14.3;14.12;13.82;13.64;
11.12.2025;18:49:54;13.3;13.57;13.78;13.95;14.35;14.5;14.52;14.39;14.11;13.73;13.51;
10.12.2025;18:49:59;13.19;13.47;13.7;13.9;14.39;14.59;14.63;14.48;14.21;13.87;13.67;
09.12.2025;18:49:55;13.09;13.38;13.62;13.82;14.33;14.54;14.59;14.46;14.21;13.89;13.7;
08.12.2025;18:49:57;13.34;13.6;13.81;13.98;14.41;14.57;14.58;14.44;14.15;13.78;13.56;13.36
05.12.2025;18:49:57;13.35;13.59;13.79;13.96;14.37;14.54;14.55;14.4;14.14;13.78;13.57;13.41
04.12.2025;18:49:59;13.1;13.41;13.66;13.87;14.39;14.61;14.67;14.54;14.25;13.82;13.58;13.4
03.12.2025;18:49:59;13.47;13.74;13.96;14.13;14.54;14.7;14.74;14.61;14.31;13.89;13.65;13.46
02.12.2025;18:49:56;13.22;13.55;13.83;14.05;14.61;14.82;14.86;14.68;14.33;13.87;13.61;13.39
01.12.2025;18:49:58;13.18;13.53;13.83;14.07;14.69;14.94;14.95;14.73;14.35;13.86;13.59;13.37
28.11.2025;18:49:59;13.23;13.55;13.81;14.03;14.57;14.78;14.82;14.65;14.33;13.91;13.67;13.48
27.11.2025;18:49:59;13.06;13.41;13.7;13.95;14.57;14.83;14.88;14.72;14.41;14.01;13.78;13.59
26.11.2025;18:49:58;13.16;13.49;13.77;13.99;14.54;14.76;14.81;14.67;14.37;13.94;13.69;13.5
25.11.2025;18:49:53;12.82;13.16;13.44;13.68;14.28;14.54;14.68;14.6;14.34;13.97;13.75;13.58
24.11.2025;18:49:53;12.62;12.98;13.29;13.55;14.23;14.54;14.68;14.56;14.27;13.88;13.66;13.48
21.11.2025;18:49:58;12.66;13.01;13.3;13.54;14.16;14.44;14.6;14.52;14.27;13.91;13.7;13.52
20.11.2025;18:49:58;12.11;12.55;12.92;13.23;14.07;14.47;14.7;14.62;14.35;13.97;13.75;13.56
19.11.2025;18:49:56;11.91;12.38;12.78;13.12;14.02;14.46;14.7;14.61;14.31;13.92;13.68;13.48
18.11.2025;18:49:57;11.84;12.32;12.73;13.08;14.03;14.5;14.78;14.69;14.38;13.96;13.72;13.52
17.11.2025;18:49:56;11.31;11.89;12.39;12.82;13.97;14.54;14.83;14.71;14.38;13.95;13.71;13.48
14.11.2025;18:49:59;11.33;11.88;12.36;12.76;13.85;14.39;14.73;14.66;14.36;13.94;13.7;13.49
13.11.2025;18:49:58;11.31;11.85;12.32;12.71;13.79;14.33;14.67;14.61;14.35;13.98;13.77;13.57
12.11.2025;18:49:57;11.63;12.15;12.59;12.97;13.97;14.45;14.72;14.63;14.36;13.98;13.75;13.54
11.11.2025;18:49:58;11.88;12.35;12.76;13.1;14.04;14.49;14.76;14.68;14.42;14.05;13.84;13.64
10.11.2025;18:49:56;11.98;12.45;12.85;13.2;14.13;14.6;14.86;14.78;14.52;14.17;13.97;13.78
07.11.2025;18:49:58;11.98;12.46;12.88;13.24;14.2;14.68;14.97;14.91;14.66;14.32;14.12;13.95
06.11.2025;18:49:59;11.86;12.38;12.83;13.22;14.26;14.78;15.06;14.96;14.68;14.3;14.09;13.9
05.11.2025;18:49:56;12.14;12.59;12.98;13.31;14.22;14.69;14.96;14.9;14.65;14.32;14.12;13.95
03.11.2025;18:49:58;11.73;12.38;12.92;13.36;14.44;14.82;14.91;14.78;14.58;14.34;14.21;14.08
01.11.2025;18:49:59;12.03;12.58;13.05;13.44;14.43;14.86;15.06;14.96;14.71;14.4;14.21;14.02
31.10.2025;18:49:56;12.3;12.76;13.15;13.48;14.38;14.84;15.11;15.02;14.77;14.41;14.2;14.02
30.10.2025;18:49:56;12.39;12.84;13.22;13.55;14.41;14.83;15.04;14.94;14.68;14.33;14.13;13.94
29.10.2025;18:49:55;12.48;12.95;13.34;13.65;14.42;14.83;15.11;15.08;14.86;14.52;14.31;14.09
28.10.2025;18:49:59;12.54;12.99;13.38;13.71;14.6;15.07;15.36;15.29;15.04;14.71;14.52;14.35
27.10.2025;18:49:59;12.72;13.19;13.59;13.92;14.76;15.2;15.46;15.4;15.15;14.81;14.6;14.4
24.10.2025;18:49:58;12.64;13.08;13.46;13.79;14.67;15.12;15.35;15.24;14.97;14.62;14.42;14.24
23.10.2025;18:49:58;12.86;13.27;13.62;13.91;14.71;15.1;15.28;15.17;14.91;14.56;14.36;14.17
22.10.2025;18:49:59;12.86;13.27;13.62;13.92;14.68;15.05;15.21;15.07;14.79;14.41;14.19;13.97
21.10.2025;18:49:58;13.15;13.54;13.88;14.16;14.91;15.25;15.34;15.16;14.81;14.4;14.17;13.97
20.10.2025;18:49:55;12.77;13.35;13.81;14.18;14.98;15.17;15.04;14.83;14.59;14.36;14.24;14.12
17.10.2025;18:49:56;13.9;14.11;14.28;14.42;14.75;14.88;14.91;14.82;14.63;14.36;14.19;14.03
16.10.2025;18:49:59;14.16;14.35;14.52;14.65;14.97;15.09;15.09;14.99;14.79;14.52;14.36;14.2
15.10.2025;18:49:57;14.48;14.67;14.83;14.97;15.31;15.45;15.44;15.31;15.08;14.81;14.66;14.54
14.10.2025;18:49:59;14.56;14.73;14.88;15.0;15.3;15.42;15.42;15.31;15.13;14.9;14.77;14.64
13.10.2025;18:49:55;14.88;14.93;14.97;15.0;15.1;15.16;15.19;15.17;15.1;15.0;14.95;14.93
10.10.2025;18:49:58;14.93;14.95;14.96;14.98;15.02;15.06;15.11;15.12;15.09;15.03;15.02;15.04
09.10.2025;18:49:59;14.87;14.84;14.83;14.84;14.9;14.95;15.02;15.04;15.02;14.97;14.96;14.99
08.10.2025;18:49:59;15.41;15.14;14.99;14.93;14.93;15.01;15.12;15.16;15.15;15.11;15.1;15.13
07.10.2025;18:49:58;15.3;14.97;14.8;14.71;14.71;14.8;14.92;14.97;14.98;14.96;14.94;14.97
06.10.2025;18:49:57;15.03;14.77;14.64;14.59;14.65;14.77;14.92;14.98;15.0;14.97;14.96;14.99
03.10.2025;18:49:59;14.63;14.61;14.6;14.6;14.67;14.77;14.9;14.96;14.98;14.94;14.93;14.94
02.10.2025;18:49:59;14.49;14.49;14.52;14.55;14.7;14.81;14.94;14.99;15.01;14.99;14.98;14.99
01.10.2025;18:49:57;14.15;14.15;14.19;14.25;14.48;14.65;14.83;14.92;14.95;14.93;14.92;14.93
30.09.2025;18:49:58;14.47;14.31;14.25;14.25;14.42;14.59;14.8;14.9;14.93;14.92;14.9;14.92
29.09.2025;18:49:58;14.2;14.05;14.01;14.03;14.29;14.5;14.76;14.88;14.93;14.92;14.92;14.96
26.09.2025;18:49:58;14.01;13.86;13.81;13.82;14.06;14.3;14.58;14.72;14.8;14.82;14.82;14.84
25.09.2025;18:49:50;14.29;14.09;14.02;14.01;14.18;14.36;14.56;14.68;14.76;14.76;14.75;14.76
24.09.2025;18:49:58;14.12;13.9;13.83;13.82;14.03;14.24;14.48;14.58;14.61;14.59;14.58;14.59
23.09.2025;18:49:44;14.3;14.01;13.88;13.84;13.97;14.13;14.34;14.43;14.48;14.47;14.45;14.46
22.09.2025;18:49:59;14.73;14.38;14.18;14.08;14.06;14.16;14.32;14.4;14.42;14.39;14.36;14.35
19.09.2025;18:49:58;14.84;14.46;14.23;14.1;14.03;14.14;14.33;14.43;14.45;14.4;14.37;14.41
18.09.2025;18:49:58;14.85;14.39;14.14;14.01;13.93;14.0;14.11;14.18;14.23;14.2;14.17;14.18
17.09.2025;18:49:59;14.84;14.34;14.07;13.92;13.82;13.9;14.01;14.07;14.08;14.05;14.04;14.05
16.09.2025;18:49:42;15.2;14.6;14.26;14.07;13.9;13.95;14.07;14.12;14.14;14.1;14.07;14.07
15.09.2025;18:49:58;14.91;14.29;13.96;13.79;13.72;13.83;14.0;14.07;14.09;14.06;14.05;14.08
12.09.2025;18:49:57;15.5;14.75;14.31;14.06;13.8;13.84;13.94;13.98;13.97;13.92;13.89;13.91
11.09.2025;18:49:58;15.1;14.39;13.97;13.74;13.53;13.6;13.73;13.8;13.81;13.76;13.72;13.71
10.09.2025;18:49:56;14.7;14.07;13.71;13.52;13.39;13.49;13.65;13.72;13.74;13.7;13.68;13.7
09.09.2025;18:49:55;15.03;14.37;13.99;13.77;13.53;13.55;13.62;13.67;13.71;13.69;13.66;13.65
08.09.2025;18:49:59;14.96;14.19;13.75;13.51;13.31;13.37;13.49;13.57;13.62;13.62;13.6;13.6
05.09.2025;18:49:53;14.94;14.25;13.86;13.64;13.44;13.48;13.58;13.63;13.67;13.66;13.64;13.64
04.09.2025;18:49:56;15.28;14.45;13.97;13.7;13.44;13.48;13.57;13.63;13.68;13.67;13.65;13.65
03.09.2025;18:49:57;15.01;14.33;13.94;13.73;13.54;13.6;13.72;13.79;13.81;13.78;13.75;13.75
02.09.2025;18:49:59;15.25;14.64;14.28;14.07;13.83;13.83;13.89;13.92;13.91;13.85;13.83;13.84
01.09.2025;18:49:56;15.27;14.67;14.3;14.08;13.79;13.79;13.84;13.87;13.85;13.8;13.78;13.8
29.08.2025;18:49:59;15.5;14.75;14.31;14.06;13.78;13.8;13.88;13.91;13.9;13.84;13.82;13.86
28.08.2025;18:49:58;14.98;14.23;13.81;13.59;13.47;13.6;13.79;13.88;13.9;13.88;13.87;13.9
27.08.2025;18:49:58;15.06;14.24;13.79;13.56;13.42;13.55;13.74;13.82;13.84;13.81;13.79;13.83
26.08.2025;18:49:58;15.04;14.18;13.72;13.49;13.39;13.55;13.78;13.88;13.89;13.84;13.82;13.87
25.08.2025;18:49:54;14.77;13.95;13.51;13.3;13.25;13.43;13.66;13.77;13.81;13.78;13.78;13.82
22.08.2025;18:49:58;14.64;13.91;13.5;13.29;13.19;13.35;13.59;13.7;13.75;13.72;13.69;13.7
21.08.2025;18:49:59;14.88;14.16;13.75;13.54;13.38;13.48;13.65;13.72;13.72;13.66;13.63;13.65
20.08.2025;18:49:59;14.83;14.04;13.6;13.35;13.18;13.29;13.49;13.58;13.59;13.53;13.48;13.48
19.08.2025;18:49:58;15.3;14.37;13.82;13.5;13.15;13.18;13.29;13.33;13.3;13.21;13.17;13.2
18.08.2025;18:49:58;15.15;14.17;13.62;13.32;13.09;13.2;13.38;13.46;13.47;13.42;13.41;13.45
15.08.2025;18:49:58;14.96;13.89;13.31;13.01;12.86;13.04;13.31;13.44;13.53;13.51;13.48;13.51
14.08.2025;18:49:58;15.1;14.12;13.59;13.31;13.15;13.3;13.51;13.62;13.7;13.7;13.69;13.72
13.08.2025;18:49:58;15.03;13.97;13.41;13.13;13.04;13.25;13.53;13.67;13.77;13.77;13.77;13.82
12.08.2025;18:49:57;14.91;13.8;13.2;12.9;12.81;13.08;13.44;13.64;13.78;13.82;13.82;13.85
11.08.2025;18:49:58;14.98;13.79;13.17;12.87;12.83;13.11;13.48;13.67;13.81;13.87;13.88;13.92
08.08.2025;18:49:51;15.12;13.94;13.28;12.94;12.8;13.1;13.53;13.76;13.93;14.04;14.08;14.12
07.08.2025;18:49:59;14.99;13.87;13.29;13.0;12.99;13.29;13.66;13.84;13.98;14.05;14.08;14.13
